symbol,date,open,high,low,close,volume,adjusted
AA,2016-03-28,23.237009,23.645519,22.756411,23.309099,6867000,23.083292
AA,2016-04-01,22.68432,23.164921,22.46805,23.14089,7312700,22.916714
AA,2016-04-04,23.020741,23.47731,22.516109,22.5882,8300700,22.369377
AA,2016-04-08,23.309099,23.381189,22.46805,22.516109,14638200,22.297985
AA,2016-04-11,22.900591,23.66955,22.66029,23.40522,19303200,23.178484
AA,2016-04-15,23.981939,24.39045,23.88582,24.054029,11212300,23.821007
AA,2016-04-18,23.573429,24.34239,23.501341,24.246269,8736500,24.011383
AA,2016-04-22,25.111349,25.567921,24.79896,24.991199,8394300,24.749098
AA,2016-04-25,24.774929,24.87105,24.2703,24.41448,8077500,24.177965
AA,2016-04-29,27.105841,27.634501,26.60121,26.841511,17318900,26.581484
